feedspotPage,feedspotFeedId,feedspotFolderId,name,rssUrl,websiteUrl,notes,tier,category,dinner_score,enabled,error
"https://www.feedspot.com/reader/fo/7957211/fe/5066120","5066120","7957211","Baird Maritime","https://www.bairdmaritime.com/feed/","//bairdmaritime.com","The company produces the leading maritime new portal, home of the world-famous Work Boat World, Fishing Boat World, Ship World, Aquamarine, and Commercial Mariner sub-sites and the industry-leading ship brokerage platforms. Follow to get updates.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957211/fe/4953155","4953155","7957211","Marine Log","https://www.marinelog.com/index.php?option=com_k2&view=itemlist&layout=category&Itemid=234&format=feed&type=rss","//marinelog.com","For more than 135 years, Marine Log has been considered ""the source"" for maritime news coverage. As America's most respected marine industry monthly, we provide industry professionals with the information they need. Shipping, shipbuilding, offshore, maritime security and marine engineering information from America's leading maritime magazine","","","10","true",""
"https://www.feedspot.com/reader/fo/7957211/fe/4953170","4953170","7957211","MarineLink » Maritime Law","https://www.marinelink.com/news/rss","//marinelink.com","Focuses on marine industry news, maritime shipping news, shipbuilding, offshore, coastal/inland, government, equipment, training, law & regulations. Maritime Reporter and Engineering News is the premier magazine serving the commercial maritime industry.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957211/fe/4953087","4953087","7957211","Maritime Gateway","https://www.maritimegateway.com/feed/","//maritimegateway.com","Maritime Gateway is a monthly business magazine catering to ports, shipping and logistics sectors. With insightful and in-depth features, interviews, news reports and trends around the world, Maritime Gateway is the preferred information resource, circulated in India and South East Asia.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957211/fe/7863143","7863143","7957211","Maritime Gateway » Cargo","https://www.maritimegateway.com/cargo-news/feed/","//maritimegateway.com","Maritime Gateway covers, analyses, comments on wide-ranging news on Ports, Shipping, Logistics that drive South Asian Maritime Industry","","","10","true",""
"https://www.feedspot.com/reader/fo/7957211/fe/4953098","4953098","7957211","Maritime Logistics Professional","https://www.maritimeprofessional.com/news/latest?format=feed","//maritimeprofessional.com","Maritime Logistics Professional Magazine hosts breaking news and insightful commentary from industry experts, as well as maritime-focused contact groups, discussion forums, and unlimited opportunities to connect with industry professionals and colleagues worldwide.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957211/fe/4953092","4953092","7957211","Maritime Magazine","https://maritimemag.com/en/feed/","//maritimemag.com","A Canadian-owned bilingual publication, Maritime Magazine is devoted to in-depth coverage of the maritime/multimodal/logistics industry in the Canada-US Great Lakes/St. Lawrence region, the Atlantic and Pacific coast trades as well as the evolution of Arctic shipping, with timely features and news stories within the scope of an analytical and journalistic approach.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957211/fe/4953142","4953142","7957211","SWZ Maritime","https://swzmaritime.nl/feed/","//swzonline.nl","SWZ Maritime, formerly known as Schip en Werf de Zee, has been the leading Dutch brand for technical professionals in the maritime industry for over 75 years. Every month, the magazine brings its readers the latest developments and news from all areas of the maritime industry.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957211/fe/4305915","4305915","7957211","The Maritime Executive","https://maritime-executive.com/articles.rss","//maritime-executive.com","The maritime industry's leading source for breaking maritime and marine news including shipping news, offshore news, piracy news and more.","","","10","true",""
"https://www.feedspot.com/reader/fo/7957211/fe/7894410","7894410","7957211","The Waterways Journal","https://www.waterwaysjournal.net/feed/","//waterwaysjournal.net","Weekly journal focused on inland marine, towboat, barge, river, shipbuilding, jobs, training and other maritime news","","","10","true",""